Generation (G),Age of Colony (t),No. of alates (A),No. of helpers,No. of not helper,Age to dispersal (tau),No. of eggs (F),No. of dead offsprings,Imprinting level (I),The maximum reproductive capacity (K),Available resource (R),Peak available resource,Surplus resouce,Peak surplus resouce (delta_R),No. of alates in previous generation,Fitness of colony (W),0-year-old,1-year-old,2-year-old,3-year-old,4-year-old,5-year-old,6-year-old,7-year-old,8-year-old,9-year-old,10-year-old,11-year-old,12-year-old
6,5,0,31,25,4,25,0,3.0,25,878,878,628,628,0,0,25,25,11,10,10,,,,,,,,,
6,6,0,56,25,4,25,0,3.0,25,1560,1560,1310,1310,0,0,25,25,25,11,10,10,,,,,,,,
6,7,20,61,25,4,25,0,3.0,25,1414,1560,1164,1310,18,18,25,25,25,25,11,0,0,,,,,,,
6,8,11,75,25,4,25,0,3.0,25,1886,1886,1636,1636,29,29,25,25,25,25,25,0,0,0,,,,,,
6,9,25,75,25,4,25,0,3.0,25,1886,1886,1636,1636,53,54,25,25,25,25,25,0,0,0,0,,,,,
6,10,25,75,25,4,25,0,3.0,25,1886,1886,1636,1636,77,79,25,25,25,25,25,0,0,0,0,0,,,,
6,11,25,75,25,4,25,0,3.0,25,1886,1886,1636,1636,101,104,25,25,25,25,25,0,0,0,0,0,0,,,
6,12,25,75,25,4,25,0,3.0,25,1886,1886,1636,1636,125,129,25,25,25,25,25,0,0,0,0,0,0,0,,
6,13,25,75,25,4,25,0,3.0,25,1886,1886,1636,1636,149,154,25,25,25,25,25,0,0,0,0,0,0,0,0,
7,1,0,0,0,5,10,0,5.0,26,200,200,100,100,0,0,10,,,,,,,,,,,,,
7,2,0,0,10,4,10,0,3.0,26,200,200,100,100,0,0,10,10,,,,,,,,,,,,
7,3,0,10,10,4,11,0,3.0,26,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
7,4,0,20,11,4,26,0,3.0,26,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
7,5,0,31,26,4,26,0,3.0,26,878,878,618,618,0,0,26,26,11,10,10,,,,,,,,,
7,6,0,57,26,4,26,0,3.0,26,1564,1564,1304,1304,0,0,26,26,26,11,10,10,,,,,,,,
7,7,20,63,26,4,26,0,3.0,26,1448,1564,1188,1304,18,18,26,26,26,26,11,0,0,,,,,,,
7,8,11,78,26,4,26,0,3.0,26,1954,1954,1694,1694,29,29,26,26,26,26,26,0,0,0,,,,,,
7,9,26,78,26,4,26,0,3.0,26,1954,1954,1694,1694,54,55,26,26,26,26,26,0,0,0,0,,,,,
7,10,26,78,26,4,26,0,3.0,26,1954,1954,1694,1694,79,81,26,26,26,26,26,0,0,0,0,0,,,,
7,11,26,78,26,4,26,0,3.0,26,1954,1954,1694,1694,104,107,26,26,26,26,26,0,0,0,0,0,0,,,
7,12,26,78,26,4,26,0,3.0,26,1954,1954,1694,1694,129,133,26,26,26,26,26,0,0,0,0,0,0,0,,
7,13,26,78,26,4,26,0,3.0,26,1954,1954,1694,1694,154,159,26,26,26,26,26,0,0,0,0,0,0,0,0,
8,1,0,0,0,5,10,0,5.0,27,200,200,100,100,0,0,10,,,,,,,,,,,,,
8,2,0,0,10,4,10,0,3.0,27,200,200,100,100,0,0,10,10,,,,,,,,,,,,
8,3,0,10,10,4,11,0,3.0,27,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
8,4,0,20,11,4,26,0,3.0,27,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
8,5,0,31,26,4,27,0,3.0,27,878,878,608,608,0,0,27,26,11,10,10,,,,,,,,,
8,6,0,57,27,4,27,0,3.0,27,1564,1564,1294,1294,0,0,27,27,26,11,10,10,,,,,,,,
8,7,20,64,27,4,27,0,3.0,27,1452,1564,1182,1294,18,18,27,27,27,26,11,0,0,,,,,,,
8,8,11,80,27,4,27,0,3.0,27,1988,1988,1718,1718,29,29,27,27,27,27,26,0,0,0,,,,,,
8,9,26,81,27,4,27,0,3.0,27,2022,2022,1752,1752,55,55,27,27,27,27,27,0,0,0,0,,,,,
8,10,27,81,27,4,27,0,3.0,27,2022,2022,1752,1752,81,82,27,27,27,27,27,0,0,0,0,0,,,,
